"Time","Load (kW)","Pressure_kpa","Cloud Cover (%)","Humidity (%)","Temperature (C)","Wind Direction (deg)","Wind Speed (kmh)"
2021-01-31 08:00:00,1003437.93213707,1014,21,77.5,7.64188621745121,113.5,5.8425
2021-01-31 09:00:00,1031688.93213707,1014.45,19,72.6666666666667,11.6668862174512,106.5,1.8025
2021-01-31 10:00:00,1062876.43213707,1014.825,15.75,70.1666666666667,15.0618862174512,314.75,6.4575
2021-01-31 11:00:00,1073938.43213707,1014.675,10.25,66.6666666666667,18.2318862174512,295,8.7225
2021-01-31 12:00:00,1074424.93213707,1013.725,4,66.5,19.2518862174512,296.25,12.54
2021-01-31 13:00:00,1068938.93213707,1012.3,0.25,68.3333333333333,20.6618862174512,281.75,16.5975
2021-01-31 14:00:00,1068203.43213707,1011.25,0,71.3333333333333,17.8668862174512,268,20.0825
2021-01-31 15:00:00,1064278.43213707,1010.6,0,73,18.4168862174512,281,18.9
2021-01-31 16:00:00,1057771.43213707,1010.5,0.25,76.3333333333333,16.5118862174512,277.75,24.605
2021-01-31 17:00:00,1056542.43213707,1010.575,2.5,72.8333333333333,16.0268862174512,315.75,15.6775
2021-01-31 18:00:00,1070378.93213707,1011,4,73,13.9968862174512,317,14.0875
2021-01-31 19:00:00,1076129.93213707,1011.7,5.25,74,13.6918862174512,325,9.5775
2021-01-31 20:00:00,1066564.93213707,1012.475,6,78.3333333333333,11.7818862174512,311.75,10.205
2021-01-31 21:00:00,1050017.43213707,1013.05,6,74.6666666666667,11.5268862174512,318.75,7.5325
2021-01-31 22:00:00,1031329.93213707,1013.2,5.75,77.6666666666667,10.0668862174512,326.25,7.8525
2021-01-31 23:00:00,1011960.93213707,1013.1,2.5,77.1666666666667,9.73188621745121,2.75,6.6975
2021-02-01 00:00:00,991758.93213707,1012.725,1.25,76,9.20188621745121,346.5,8.1575
2021-02-01 01:00:00,973742.93213707,1012.025,6.5,73,9.08188621745122,334.75,9.305
2021-02-01 02:00:00,963206.93213707,1011.55,1,78,7.54188621745121,337.75,13.36
2021-02-01 03:00:00,957533.43213707,1011.325,0.75,79.8333333333333,7.19688621745122,5.75,9.82
2021-02-01 04:00:00,954496.43213707,1011.35,1.5,81.5,5.83688621745121,14.5,5.575
2021-02-01 05:00:00,962025.43213707,1011.375,3.5,83.3333333333333,5.46188621745121,33.25,2.7425
2021-02-01 06:00:00,984037.93213707,1011.95,9,82.6666666666667,5.44688621745121,24.5,7.0875
2021-02-01 07:00:00,1029162.43213707,1012.7,36,82.1666666666667,5.76688621745121,7,5.8625
