"Temperature (C)","Pressure_kpa","Cloud Cover (%)","Wind Direction (deg)","Wind Speed (kmh)","Time"
7.72188621745121,1013,6,163,10,2021-02-02 08:00:00
7.72188621745121,1014,7,122,9,2021-02-02 09:00:00
9.72188621745121,1013,7,184,10,2021-02-02 10:00:00
11.7218862174512,1013,6,247,11,2021-02-02 11:00:00
11.7218862174512,1013,6,310,12,2021-02-02 12:00:00
11.7218862174512,1012,5,306,15,2021-02-02 13:00:00
11.7218862174512,1011,5,302,18,2021-02-02 14:00:00
11.7218862174512,1010,4,299,21,2021-02-02 15:00:00
9.72188621745121,1010,3,300,20,2021-02-02 16:00:00
9.72188621745121,1010,2,302,20,2021-02-02 17:00:00
9.72188621745121,1010,1,304,19,2021-02-02 18:00:00
7.72188621745121,1011,1,307,17,2021-02-02 19:00:00
5.72188621745121,1012,1,309,15,2021-02-02 20:00:00
3.72188621745121,1012,1,312,13,2021-02-02 21:00:00
1.72188621745121,1012,1,319,12,2021-02-02 22:00:00
-0.278113782548786,1012,2,326,11,2021-02-02 23:00:00
-0.278113782548786,1012,2,333,10,2021-02-03 00:00:00
1.72188621745121,1012,3,297,11,2021-02-03 01:00:00
5.72188621745121,1012,4,261,12,2021-02-03 02:00:00
9.72188621745121,1012,5,226,13,2021-02-03 03:00:00
7.72188621745121,1012,7,157,12,2021-02-03 04:00:00
7.72188621745121,1012,8,89,12,2021-02-03 05:00:00
5.72188621745121,1012,10,21,12,2021-02-03 06:00:00
7.72188621745121,1013,10,65,10,2021-02-03 07:00:00
